Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA,NPOP,NGEN,CXPB,MUTPB,Q,SEED
Proxifier,0.42,14,8,0.503,0.000,0.455,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Linux,0.35,32,118,0.361,0.124,0.160,0.125,0.034,0.053,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Apache,0.25,16,6,0.312,0.006,0.364,0.125,0.333,0.182,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Zookeeper,0.22,47,50,0.724,0.473,0.454,0.234,0.220,0.227,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Hadoop,0.33,104,114,0.451,0.113,0.303,0.106,0.096,0.101,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HealthApp,0.22,542,75,0.267,0.112,0.104,0.024,0.173,0.042,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenStack,0.36,37,43,0.326,0.000,0.575,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HPC,0.20,49,46,0.910,0.643,0.653,0.367,0.391,0.379,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Mac,0.35,417,341,0.568,0.169,0.596,0.146,0.179,0.161,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenSSH,0.32,26,26,0.611,0.298,0.769,0.231,0.231,0.231,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Spark,0.38,265,36,0.282,0.259,0.073,0.023,0.167,0.040,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Thunderbird,0.36,51,149,0.554,0.004,0.220,0.118,0.040,0.060,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
BGL,0.24,122,120,0.587,0.124,0.479,0.090,0.092,0.091,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HDFS,0.33,23,14,0.930,0.004,0.595,0.043,0.071,0.054,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
